Route,Rating,Route Type
Bit-O-Bunny,Intermediate,Trad
Northern Corn,Intermediate,Trad
Ewe Got It,Intermediate,Trad
Lamb Chops,Intermediate,Trad
Western Hardman,Intermediate,Trad
Suffer For Your Sanity,Intermediate,Trad
Territory of the Mad,Intermediate,Trad
Trenchfoot,Intermediate,Trad
Loonar Rising,Intermediate,Trad
Seek & Destroy,Intermediate,Trad
Nightmare,Intermediate,Trad
Your Next Poor Decision,Intermediate,Trad
Severity Disparity,Intermediate,Trad
Without Despair,Intermediate,Trad
Quarter Inch from Falling,Intermediate,Trad
Werewolf,Intermediate,Trad
The Laplander,Intermediate,Trad
Shadow of Doubt,Intermediate,Trad
Ripcurl,Intermediate,Trad
Band Aid For The Ego,Intermediate,Trad
Cleveland Steamer,Advanced,Trad
Appetite for Destruction,Advanced,Trad
Hardpan Heroics,Advanced,Trad
Holding Pattern,Advanced,Trad
